ID;Pergunta;A;Nó A;B;Nó B
1;A casa tem uma condicao menor ou a igual a 4?;SIM;2;NAO;3
2;A quantidade de quartos é menor ou igual a 2?;SIM;4;NAO;5
3;A quantidade de quartos é menor ou igual a 3?;SIM;6;NAO;7
4;A area total é menor que 5548?;SIM;8;NAO;9
5;O grade é menor ou igual a 6?;SIM;10;NAO;11
6;A casa tem apenas 1 andar?;SIM;12;NAO;13
7;NÓ FOLHA;O preço da casa esta abaixo da media;;;
8;NÓ FOLHA;O preço da casa esta acima da media;;;
9;O grade é menor ou igual a 6?;SIM;14;NAO;15
10;A casa tem apenas 1 andar?;SIM;16;NAO;17
11;A area acima do solo é menor que 1381?;SIM;18;NAO;19
12;NÓ FOLHA;O preço da casa esta acima da media;;;
13;NÓ FOLHA;O preço da casa esta abaixo da media;;;
14;NÓ FOLHA;O preço da casa esta acima da media;;;
15;NÓ FOLHA;O preço da casa esta acima da media;;;
16;A casa tem uma condicao igual a 3?;SIM;20;NAO;21
17;NÓ FOLHA;O preço da casa esta acima da media;;;
18;A casa tem menos de 37 anos?;SIM;22;NAO;23
19;A casa tem menos de 37 anos?;SIM;24;NAO;25
20;NÓ FOLHA;O preço da casa esta abaixo da media;;;
21;A area total é menor que 8962?;SIM;26;NAO;27
22;NÓ FOLHA;O preço da casa esta na media;;;
23;A area construida é menor que 1891?;SIM;28;NAO;29
24;A area construida é menor que 1891?;SIM;30;NAO;31
25;A quantidade de banheiros é menor que 2.1?;SIM;32;NAO;33
26;A casa tem menos de 66 anos?;SIM;34;NAO;35
27;NÓ FOLHA;O preço da casa esta abaixo da media;;;
28;A quantidade de banheiros é menor que 1.1?;SIM;36;NAO;37
29;NÓ FOLHA;O preço da casa esta abaixo da media;;;
30;A area total é menor quw 5757?;SIM;38;NAO;39
31;A area total é menor quw 8962?;SIM;40;NAO;41
32;A casa tem menos de 66 anos?;SIM;42;NAO;43
33;A quantidade de andares é menor que 1.6?;SIM;44;NAO;45
34;NÓ FOLHA;O preço da casa esta abaixo da media;;;
35;NÓ FOLHA;O preço da casa esta abaixo da media;;;
36;NÓ FOLHA;O preço da casa esta acima da media;;;
37;NÓ FOLHA;O preço da casa esta acima da media;;;
38;NÓ FOLHA;O preço da casa esta abaixo da media;;;
39;NÓ FOLHA;O preço da casa esta abaixo da media;;;
40;A area total é menor que 5757?;SIM;46;NAO;47
41;NÓ FOLHA;O preço da casa esta acima da media;;;
42;A quantidade de quartos é menor ou igual a 2?;SIM;48;NAO;49
43;NÓ FOLHA;O preço da casa esta acima da media;;;
44;NÓ FOLHA;O preço da casa esta abaixo da media;;;
45;NÓ FOLHA;O preço da casa esta abaixo da media;;;
46;A area acima do solo é menor que 2231?;SIM;50;NAO;51
47;NÓ FOLHA;O preço da casa esta acima da media;;;
48;NÓ FOLHA;O preço da casa esta acima da media;;;
49;NÓ FOLHA;O preço da casa esta abaixo da media;;;
50;NÓ FOLHA;O preço da casa esta acima da media;;;
51;NÓ FOLHA;O preço da casa esta acima da media;;;
