"ID;Pergunta;A;no A;B;no B"
"1;A casa tem uma condicao ruim?;True;2;False;3"
"2;A quantidade de quartos eh menor que 2?;True;4;False;5"
"3;A area construida eh menor que 1114 pes quadrados?;True;6;False;7"
"4;no FOLHA;A casa esta cara;;;"
"5;A casa foi construida com materiais de baixa qualidade?;True;8;False;9"
"6;no FOLHA; a casa esta na media;;;"
"7;no FOLHA; a casa esta barata;;;"
"8;A quantidade de banheiros eh menor que 1 da escala?;True;10;False;11"
"9;A area construida acima do solo eh menor que 1111 pes quadrados?;True;12;False;13"
"10;no FOLHA;O preco da casa esta abaixo da media;;;"
"11;no FOLHA; A casa esta na media;;;"
"12;A area construida eh menor que 1114 pes quadrados?;True;14;False;15"
"13;A casa possui menos de 18 anos?;True;16;False;17"
"14; A quantidade de banheiros eh menor que 1 da escala?;True;18;False;19"
"15;no FOLHA; a casa esta cara;;;"
"16; A area construida eh menor que 2000 pes quadrados?;True;20;False;21 "
"17; A quantidade de banheiros eh menor que 1 na escala?;True;22;False;23"
"18; no FOLHA; O preco da casa esta acima da media;;;"
"19;no FOLHA; O preco da casa esta na media;;;"
"20;no FOLHA; O preco da casa esta na media;;;"
"21;A area total eh menor que 4212 pes quadrados?;True;24;False;25"
"22;A quantidade de quartos eh menor que 2?;True;26;False;27"
"23;no FOLHA; O preco da casa esta abaixo media;;;"
"24;no FOLHA; O preco da casa acima abaixo media;;;"
"25;no FOLHA; O preco da casa acima abaixo media;;;"
"26;no FOLHA; O preco da casa acima abaixo media;;;"
"27;no FOLHA; O preco da casa esta na media;;;"
