bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_sotao,sqft_porao,ano_built,ano_renovated,area construida,area_total, price ,preco_por_pe,caro
2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,1060,5095,189000,178,FALSE
3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,0,1030,4705,233000,226,FALSE
3,1,1300,8316,1,0,0,4,6,1300,0,1954,0,1260,8316,225000,179,FALSE
4,2,2010,7312,1,0,0,4,7,2010,0,1976,0,2010,7650,250000,124,TRUE
3,2.5,1805,3402,2,0,0,3,7,1805,0,2009,0,2095,3402,266000,127,TRUE
3,1.5,1210,10588,1,0,0,4,7,1210,0,1958,0,1408,10588,200000,142,TRUE
3,1,1200,8316,1,0,0,4,6,1200,0,1953,0,1200,8316,214000,178,FALSE
3,1.75,1420,8738,1,0,0,4,7,1420,0,1966,0,1660,8738,234000,141,TRUE
2,1,1600,8961,1,0,0,4,7,1390,210,1949,0,1502,6798,218500,145,TRUE
3,1,990,7420,1,0,0,5,6,990,0,1960,0,1010,7420,208000,206,FALSE
3,1.75,1320,10454,1,0,0,4,7,1320,0,1968,0,1680,10183,249950,149,TRUE
4,1.5,1600,9289,1,0,0,4,7,1600,0,1959,0,1540,9918,224000,145,TRUE
4,2,2460,5921,1,0,0,4,7,1230,1230,1948,0,1260,6648,247500,196,FALSE
3,1,1010,8581,1,0,0,4,6,1010,0,1920,0,1060,10354,180000,170,FALSE
4,2,1440,6702,1,0,0,4,7,1440,0,1966,0,1030,6702,176250,171,FALSE
6,2.75,3240,5750,1,0,0,4,6,2160,1080,1950,0,1230,5750,370000,301,FALSE
3,1.75,1770,8868,1,0,0,4,7,1770,0,1959,0,1630,9706,250000,153,TRUE
3,1,1020,6120,1,0,0,4,7,1020,0,1967,0,1370,8000,208000,152,TRUE
3,1.75,1070,8100,1,0,0,4,6,1070,0,1957,0,1260,8100,183000,145,TRUE
2,2,1680,5756,2,0,0,4,7,1680,0,1910,0,1340,5447,210000,157,TRUE
6,3,2400,9373,2,0,0,3,7,2400,0,1991,0,2060,7316,280000,136,TRUE
6,3,2400,9373,2,0,0,3,7,2400,0,1991,0,2060,7316,300000,146,TRUE
2,1,1020,5130,1,0,0,4,6,1020,0,1948,0,1200,6497,175000,146,TRUE
3,1,1220,6000,1,0,0,5,7,1220,0,1961,0,1420,13137,161500,114,TRUE
3,2,1470,20000,1,0,0,4,7,1470,0,1968,0,1390,30056,254600,183,FALSE
5,1.75,2140,12058,1,0,0,4,8,2140,0,1951,0,1640,10125,250750,153,TRUE
3,1.5,1070,6601,1,0,0,3,6,1070,0,1985,0,1030,6614,219950,214,FALSE
3,1.75,2190,6000,1.5,0,0,4,7,2190,0,1920,0,1610,6000,255000,158,TRUE
3,2,1850,8250,1,0,0,4,7,1150,700,1952,0,1580,7153,257200,163,TRUE
3,2,1200,6074,1,0,0,3,7,1200,0,1968,0,1430,6338,222000,155,TRUE
3,1,970,9360,1,0,0,4,5,970,0,1942,0,1050,11348,206000,196,FALSE
3,1,1220,6000,1,0,0,4,7,1220,0,1968,0,1420,6000,213500,150,TRUE
3,1,1260,7265,1,0,0,4,7,1260,0,1954,0,940,7200,188200,200,FALSE
1,0.75,760,5746,1,0,0,4,5,760,0,1915,0,970,6696,95000,98,TRUE
4,2.25,2460,11250,1,0,0,4,8,2460,0,1959,0,1630,10216,276000,169,FALSE
3,1,920,7276,1,0,0,4,6,920,0,1961,0,1120,7276,125000,112,TRUE
4,1.5,2010,7561,1.5,0,0,4,7,1890,120,1921,0,1420,6564,245000,173,FALSE
5,2.5,2630,8470,1.5,0,0,4,8,2630,0,1968,0,1780,8575,270000,152,TRUE
3,1.75,1600,7500,1,0,0,3,7,1600,0,1998,0,1620,7461,285000,176,FALSE
3,1.5,1280,4366,2,0,0,4,6,1280,0,1985,0,1280,4366,183000,143,TRUE
2,1,920,5889,1,0,0,4,6,920,0,1950,0,1210,6180,156000,129,TRUE
4,1.75,1650,6900,1,0,0,3,7,910,740,1978,1993,1540,7645,238000,155,TRUE
3,2,1490,7929,1,0,0,3,7,1490,0,1989,0,1650,7929,245000,148,TRUE
3,1,1180,8775,1,0,0,3,7,1180,0,1966,0,1300,8100,190000,146,TRUE
3,1.75,2090,12026,1,0,0,4,7,2090,0,1948,0,1700,9496,248500,146,TRUE
3,1.75,1070,6110,1,0,0,4,7,1070,0,1968,0,1350,6148,195000,144,TRUE
