ID;Pergunta;A;Nó A;B;Nó B
1;A casa tem uma condicao ruim?;SIM;2;NAO;3
2;A quantidade de quartos eh menor que 2?;SIM;4;NAO;5
3;A area construida eh menor que 1114 pes quadrados?;SIM;6;NAO;7
4;no FOLHA;A casa esta cara;;;
5;A casa foi construida com materiais de baixa qualidade?;SIM;8;NAO;9
6;no FOLHA;a casa esta na media;;;
7;no FOLHA;a casa esta barata;;;
8;A quantidade de banheiros eh menor que 1 da escala?;SIM;10;NAO;11
9;A area construida acima do solo eh menor que 1111 pes quadrados?;SIM;12;NAO;13
10;no FOLHA;O preco da casa esta abaixo da media;;;
11;no FOLHA;A casa esta na media;;;
12;A area construida eh menor que 1114 pes quadrados?;SIM;14;NAO;15
13;A casa possui menos de 18 anos?;SIM;16;NAO;17
14;A quantidade de banheiros eh menor que 1 da escala?;SIM;18;NAO;19
15;no FOLHA;a casa esta cara;;;
16;A area construida eh menor que 2000 pes quadrados?;SIM;20;NAO;21
17;A quantidade de banheiros eh menor que 1 na escala?;SIM;22;NAO;23
18;no FOLHA;O preco da casa esta acima da media;;;
19;no FOLHA;O preco da casa esta na media;;;
20;no FOLHA;O preco da casa esta na media;;;
21;A area total eh menor que 4212 pes quadrados?;SIM;24;NAO;25
22;A quantidade de quartos eh menor que 2?;SIM;26;NAO;27
23;no FOLHA;O preco da casa esta abaixo media;;;
24;no FOLHA;O preco da casa acima abaixo media;;;
25;no FOLHA;O preco da casa acima abaixo media;;;
26;no FOLHA;O preco da casa acima abaixo media;;;
27;no FOLHA;O preco da casa esta na media;;;
